
# BEST (mask_ratio(0.5) embedding initialize, head_petition, shuffle=True)
TrainLoss : 4.25689, Train_NSPAcc: 93.46%, Train_MLMAcc: 11.70%, ValidLoss : 9.469, ValidNspAcc : 52.07%, Valid_MLMAcc: 20.21%
TrainLoss : 4.27878, Train_NSPAcc: 94.43%, Train_MLMAcc: 11.40%, ValidLoss : 8.932, ValidNspAcc : 55.46%, Valid_MLMAcc: 20.21%
TrainLoss : 4.21803, Train_NSPAcc: 94.63%, Train_MLMAcc: 11.98%, ValidLoss : 9.827, ValidNspAcc : 50.72%, Valid_MLMAcc: 20.45%
TrainLoss : 4.23840, Train_NSPAcc: 93.65%, Train_MLMAcc: 11.70%, ValidLoss : 9.998, ValidNspAcc : 49.73%, Valid_MLMAcc: 20.42%
TrainLoss : 4.25276, Train_NSPAcc: 92.77%, Train_MLMAcc: 11.88%, ValidLoss : 8.904, ValidNspAcc : 54.54%, Valid_MLMAcc: 20.72%
TrainLoss : 4.20282, Train_NSPAcc: 94.43%, Train_MLMAcc: 12.35%, ValidLoss : 9.400, ValidNspAcc : 53.98%, Valid_MLMAcc: 20.63%
TrainLoss : 4.18717, Train_NSPAcc: 95.02%, Train_MLMAcc: 12.15%, ValidLoss : 9.701, ValidNspAcc : 50.37%, Valid_MLMAcc: 20.85%
TrainLoss : 4.13408, Train_NSPAcc: 94.73%, Train_MLMAcc: 12.39%, ValidLoss : 8.876, ValidNspAcc : 53.69%, Valid_MLMAcc: 20.72%
TrainLoss : 4.15481, Train_NSPAcc: 95.31%, Train_MLMAcc: 12.55%, ValidLoss : 10.236, ValidNspAcc : 53.63%, Valid_MLMAcc: 20.67%
TrainLoss : 4.12199, Train_NSPAcc: 94.04%, Train_MLMAcc: 12.61%, ValidLoss : 9.565, ValidNspAcc : 50.76%, Valid_MLMAcc: 20.57%
TrainLoss : 4.16898, Train_NSPAcc: 94.63%, Train_MLMAcc: 12.38%, ValidLoss : 9.409, ValidNspAcc : 52.46%, Valid_MLMAcc: 20.65%
